Date,Open,High,Low,Close,Volume,Adj Close
2000-01-03,23.194905641167985,23.194905641167985,22.34146405255646,22.540210723876953,212900,22.540210723876953
2000-01-04,22.212862432959245,22.30639027478223,21.721841263388566,21.862133026123047,177200,21.862133026123047
2000-01-05,21.955661129293148,21.955661129293148,21.488021914611718,21.59324073791504,124600,21.59324073791504
2000-01-06,21.733528221955392,22.00242071743951,21.69845528776181,21.838747024536133,135800,21.838747024536133
2000-01-07,22.07256534006942,22.867551803588867,22.07256534006942,22.867551803588867,70000,22.867551803588867
2000-01-10,22.844166768418063,22.8909306717311,22.563583348539847,22.750638961791992,41900,22.750638961791992
2000-01-11,22.82078832187702,22.91431614286832,22.516822903655296,22.622041702270508,29600,22.622041702270508
2000-01-12,22.680500113790597,22.680500113790597,22.39991660722824,22.493444442749023,53100,22.493444442749023
2000-01-13,22.610361099243164,22.680506997172564,22.411614388443198,22.610361099243164,70600,22.610361099243164
2000-01-14,22.633741553797506,22.692196464835206,22.551904678344727,22.551904678344727,102600,22.551904678344727
2000-01-18,22.446683658922055,22.540211507500896,22.189482075330236,22.423301696777344,53800,22.423301696777344
2000-01-19,22.411610265510582,22.645429882260824,22.376537322998047,22.376537322998047,113800,22.376537322998047
2000-01-20,22.49344803519168,22.49344803519168,21.95566289505716,22.072572708129883,161400,22.072572708129883
2000-01-21,22.095947275940567,22.095947275940567,21.61661720275879,21.61661720275879,170200,21.61661720275879
2000-01-24,21.768606496660894,21.791988458526266,20.809946060180664,20.809946060180664,5100,20.809946060180664
2000-01-25,20.880092228943248,20.997002039855584,20.66965456930104,20.938547134399414,63000,20.938547134399414
2000-01-26,20.739797203080883,21.1022175600682,20.739797203080883,21.090526580810547,38100,21.090526580810547
2000-01-27,21.25420067719846,21.25420067719846,20.693033662618962,21.032072067260742,119100,21.032072067260742
2000-01-28,20.693032211727566,20.77486906228242,20.131865236494278,20.202011108398438,12400,20.202011108398438
2000-01-31,20.108483811345064,20.353994369506836,20.108483811345064,20.353994369506836,10800,20.353994369506836
2000-02-01,20.52935957644308,21.090526580810547,20.52935957644308,21.090526580810547,129900,21.090526580810547
2000-02-02,21.137292964117865,21.16067492536136,20.950237274169922,20.950237274169922,5300,20.950237274169922
2000-02-03,21.16067284143521,21.16067284143521,20.97361716990871,21.032072067260742,26200,21.032072067260742
2000-02-04,21.21912642948346,21.21912642948346,20.950233918255847,20.996997833251953,23100,20.996997833251953
2000-02-07,20.856713278708607,20.856713278708607,20.55274772644043,20.55274772644043,20800,20.55274772644043
2000-02-08,20.716416449117183,21.14898270680191,20.716416449117183,21.020381927490234,205700,21.020381927490234
2000-02-09,21.090522386369663,21.090522386369663,20.634574285999143,20.669647216796875,28600,20.669647216796875
2000-02-10,20.70472404728197,20.70472404728197,20.412449568918305,20.482595443725586,10100,20.482595443725586
2000-02-11,20.611194270431614,20.611194270431614,20.026645368831172,20.190319061279297,33000,20.190319061279297
2000-02-14,20.178628167798443,20.435829685580345,20.178628167798443,20.2955379486084,2800,20.2955379486084
2000-02-15,20.318922270851573,20.342304229736328,20.014956805349765,20.342304229736328,7900,20.342304229736328
2000-02-16,20.202018263237328,20.202018263237328,19.54732322692871,19.54732322692871,18000,19.54732322692871
2000-02-17,19.687609512817684,19.687609512817684,18.89262290541174,18.98615074157715,67000,18.98615074157715
2000-02-18,18.880927240848543,18.951073100566866,18.57696184873581,18.705562591552734,7500,18.705562591552734
2000-02-22,18.96276454973102,18.98614650355313,18.541889380933046,18.75232696533203,70700,18.75232696533203
